spec,wave,from,to,diff_weight_high_minus_low,abs_diff,n_low,n_high,from_domain,to_domain,from_role,to_role,spec_id,gamma_ebic,thresholded,cor_method,in_kg,comparison_id
g075,55,USE2_MASK,USE2_SPACE150,-0.13676418600359697,0.13676418600359697,376,309,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,USE2_MASK,USE2_AVOID,-0.1252353331432458,0.1252353331432458,376,309,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,-0.1175761727614116,0.1175761727614116,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,SEVERITY,USE2_AVOID,0.1137854967950567,0.1137854967950567,376,309,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,SEVERITY,WORRY_HEALTH_SYSTEM,-0.09853199293306711,0.09853199293306711,376,309,belief,affect,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,SEVERITY,USE2_SPACE150,0.0894445432236938,0.0894445432236938,376,309,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,WORRY_HEALTH_SYSTEM,USE2_MASK,-0.08483714386850022,0.08483714386850022,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,SEVERITY,AFF_FEAR,-0.07884556426720499,0.07884556426720499,376,309,belief,affect,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.07668782349226791,0.07668782349226791,376,309,affect,affect,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_WORRY,USE2_SPACE150,-0.0705413622572092,0.0705413622572092,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,USE2_SPACE150,USE2_AVOID,-0.04673540688771802,0.04673540688771802,376,309,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_WORRY,WORRY_HEALTH_SYSTEM,-0.043695846380348194,0.043695846380348194,376,309,affect,affect,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_FEAR,USE2_AVOID,-0.03616977308333061,0.03616977308333061,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,USE2_SPACE150,USE2_HANDWASH20,-0.03423791954399,0.03423791954399,376,309,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_WORRY,USE2_AVOID,-0.030623763816989003,0.030623763816989003,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_WORRY,USE2_HANDWASH20,0.0245705359669269,0.0245705359669269,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,WORRY_HEALTH_SYSTEM,USE2_SPACE150,0.0237027217455138,0.0237027217455138,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,USE2_MASK,USE2_HANDWASH20,0.018444226651358003,0.018444226651358003,376,309,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,SEVERITY,USE2_MASK,-0.0173270098917509,0.0173270098917509,376,309,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,USE2_HANDWASH20,USE2_AVOID,0.016813297169997007,0.016813297169997007,376,309,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_FEAR,USE2_HANDWASH20,0.0162001660027963,0.0162001660027963,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,SEVERITY,AFF_WORRY,-0.015586917098181705,0.015586917098181705,376,309,belief,affect,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_WORRY,USE2_MASK,-0.0155628239941265,0.0155628239941265,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,SEVERITY,USE2_HANDWASH20,0.01420736024556039,0.01420736024556039,376,309,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_FEAR,AFF_WORRY,-0.0012186318519070705,0.0012186318519070705,376,309,affect,affect,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,WORRY_HEALTH_SYSTEM,USE2_AVOID,-6.477114967472983e-4,6.477114967472983e-4,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_FEAR,USE2_MASK,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,55,AFF_FEAR,USE2_SPACE150,0,0,376,309,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w55_high_minus_low
g075,56,SEVERITY,AFF_WORRY,-0.2282097937944493,0.2282097937944493,383,351,belief,affect,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_WORRY,USE2_MASK,-0.122296617057614,0.122296617057614,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_WORRY,WORRY_HEALTH_SYSTEM,-0.11313088698837839,0.11313088698837839,383,351,affect,affect,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,SEVERITY,USE2_HANDWASH20,0.10326597434691,0.10326597434691,383,351,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,USE2_MASK,USE2_SPACE150,-0.09665432295364901,0.09665432295364901,383,351,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,WORRY_HEALTH_SYSTEM,USE2_AVOID,0.08758986145043539,0.08758986145043539,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,USE2_MASK,USE2_AVOID,-0.08412503057287418,0.08412503057287418,383,351,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,0.0766582332275105,0.0766582332275105,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,USE2_SPACE150,USE2_HANDWASH20,-0.07278246905546701,0.07278246905546701,383,351,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,SEVERITY,WORRY_HEALTH_SYSTEM,-0.0695622643782032,0.0695622643782032,383,351,belief,affect,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_WORRY,USE2_AVOID,0.0685615943391421,0.0685615943391421,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,WORRY_HEALTH_SYSTEM,USE2_MASK,0.051650649525263395,0.051650649525263395,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_WORRY,USE2_SPACE150,-0.0422068154514394,0.0422068154514394,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,USE2_MASK,USE2_HANDWASH20,0.03921785495115901,0.03921785495115901,383,351,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,SEVERITY,AFF_FEAR,-0.038243548722588006,0.038243548722588006,383,351,belief,affect,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,SEVERITY,USE2_SPACE150,0.03799379928064069,0.03799379928064069,383,351,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,USE2_HANDWASH20,USE2_AVOID,-0.031854782028787,0.031854782028787,383,351,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.021380441381852994,0.021380441381852994,383,351,affect,affect,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_FEAR,USE2_AVOID,0.0205378663024684,0.0205378663024684,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,SEVERITY,USE2_AVOID,-0.019592633350136,0.019592633350136,383,351,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_FEAR,USE2_SPACE150,0.0112771293148659,0.0112771293148659,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_FEAR,AFF_WORRY,0.009002086012737998,0.009002086012737998,383,351,affect,affect,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,WORRY_HEALTH_SYSTEM,USE2_SPACE150,0.008800758771214598,0.008800758771214598,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,USE2_SPACE150,USE2_AVOID,-0.006011391625710016,0.006011391625710016,383,351,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_FEAR,USE2_MASK,-0.00418535556217125,0.00418535556217125,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,SEVERITY,USE2_MASK,0,0,383,351,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_FEAR,USE2_HANDWASH20,0,0,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,56,AFF_WORRY,USE2_HANDWASH20,0,0,383,351,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w56_high_minus_low
g075,57,USE2_MASK,USE2_SPACE150,-0.2304435229387674,0.2304435229387674,336,407,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_FEAR,AFF_WORRY,-0.19520564151554198,0.19520564151554198,336,407,affect,affect,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,USE2_SPACE150,USE2_HANDWASH20,-0.165344938276566,0.165344938276566,336,407,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,SEVERITY,AFF_FEAR,0.14532014135118287,0.14532014135118287,336,407,belief,affect,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,SEVERITY,WORRY_HEALTH_SYSTEM,-0.142145431091419,0.142145431091419,336,407,belief,affect,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,USE2_HANDWASH20,USE2_AVOID,-0.10284979011443039,0.10284979011443039,336,407,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,SEVERITY,USE2_AVOID,-0.0950565129638646,0.0950565129638646,336,407,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,SEVERITY,AFF_WORRY,-0.0876771815616432,0.0876771815616432,336,407,belief,affect,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_WORRY,USE2_MASK,-0.0831061374360172,0.0831061374360172,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.07897606729618198,0.07897606729618198,336,407,affect,affect,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,USE2_SPACE150,USE2_AVOID,-0.07562146697862598,0.07562146697862598,336,407,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,0.0727061493857616,0.0727061493857616,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,WORRY_HEALTH_SYSTEM,USE2_AVOID,-0.07172090022372321,0.07172090022372321,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_FEAR,USE2_AVOID,0.0621601191749037,0.0621601191749037,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,WORRY_HEALTH_SYSTEM,USE2_MASK,-0.056809509353017984,0.056809509353017984,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,SEVERITY,USE2_SPACE150,-0.0518376003125831,0.0518376003125831,336,407,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_WORRY,USE2_SPACE150,0.0424758401645531,0.0424758401645531,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,SEVERITY,USE2_HANDWASH20,0.0408160253815509,0.0408160253815509,336,407,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,USE2_MASK,USE2_HANDWASH20,-0.033645331325206,0.033645331325206,336,407,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,USE2_MASK,USE2_AVOID,0.03363397074480701,0.03363397074480701,336,407,behavior,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_FEAR,USE2_MASK,0.0173779072867365,0.0173779072867365,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_WORRY,USE2_HANDWASH20,-0.0162213900096129,0.0162213900096129,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_WORRY,USE2_AVOID,-0.0110123122934447,0.0110123122934447,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_FEAR,WORRY_HEALTH_SYSTEM,-0.001600912086519704,0.001600912086519704,336,407,affect,affect,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,SEVERITY,USE2_MASK,0,0,336,407,belief,behavior,focal_belief,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_FEAR,USE2_SPACE150,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,WORRY_HEALTH_SYSTEM,USE2_SPACE150,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
g075,57,AFF_FEAR,USE2_HANDWASH20,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_075,0.75,FALSE,pearson,FALSE,diff_g075_w57_high_minus_low
